Clase,lat,lng
SU,-34.629192,-58.501394
OF,-34.565992,-58.501394
SU,-34.570647,-58.501363
SU,-34.629155,-58.501340
SU,-34.629155,-58.501340
SU,-34.570777,-58.501258
SU,-34.577587,-58.501174
SU,-34.577587,-58.501174
SU,-34.577587,-58.501174
SU,-34.577587,-58.501174
SU,-34.562753,-58.501173
SU,-34.592026,-58.501135
SU,-34.577756,-58.501131
SU,-34.577756,-58.501131
SU,-34.661872,-58.501109
SU,-34.579613,-58.501093
SU,-34.579613,-58.501093
SU,-34.600759,-58.501037
SU,-34.568421,-58.500981
SU,-34.568421,-58.500981
DI,-34.671094,-58.500928
SU,-34.571222,-58.500903
SU,-34.672473,-58.500874
SU,-34.607067,-58.500820
SU,-34.571356,-58.500794
SU,-34.586711,-58.500743
SU,-34.629731,-58.500688
SU,-34.588938,-58.500681
DI,-34.594346,-58.500648
SU,-34.570868,-58.500647
DI,-34.593986,-58.500600
SU,-34.599440,-58.500589
SU,-34.599440,-58.500589
SU,-34.599440,-58.500589
SU,-34.599440,-58.500589
SU,-34.599440,-58.500589
SU,-34.599581,-58.500586
SU,-34.599581,-58.500586
SU,-34.599581,-58.500586
OF,-34.566994,-58.500582
SU,-34.639674,-58.500575
SU,-34.578962,-58.500574
SU,-34.628330,-58.500554
SU,-34.628330,-58.500554
SU,-34.628330,-58.500554
SU,-34.628330,-58.500554
SU,-34.567053,-58.500535
SU,-34.637478,-58.500493
SU,-34.596564,-58.500491
SU,-34.597218,-58.500453
SU,-34.597218,-58.500453
SU,-34.586202,-58.500426
SU,-34.621934,-58.500424
SU,-34.621934,-58.500424
DI,-34.621934,-58.500424
SU,-34.632894,-58.500417
SU,-34.567241,-58.500382
SU,-34.598816,-58.500297
SU,-34.637653,-58.500295
SU,-34.641609,-58.500208
SU,-34.563371,-58.500169
SU,-34.563371,-58.500169
OF,-34.567525,-58.500152
SU,-34.605136,-58.500076
SU,-34.582734,-58.500046
SU,-34.634306,-58.500045
SU,-34.611534,-58.500019
SU,-34.611534,-58.500019
SU,-34.617768,-58.499979
SU,-34.640103,-58.499910
SU,-34.640103,-58.499910
SU,-34.624870,-58.499852
SU,-34.644587,-58.499802
DI,-34.672028,-58.499795
SU,-34.597981,-58.499762
SU,-34.575525,-58.499734
SU,-34.636113,-58.499674
SU,-34.570438,-58.499673
SU,-34.629416,-58.499662
SU,-34.608848,-58.499643
DI,-34.670736,-58.499632
SU,-34.663112,-58.499579
SU,-34.589254,-58.499481
SU,-34.586952,-58.499463
SU,-34.629178,-58.499401
SU,-34.623187,-58.499332
OF,-34.568602,-58.499280
SU,-34.638202,-58.499271
OF,-34.638202,-58.499271
SU,-34.652502,-58.499218
SU,-34.652502,-58.499218
SU,-34.624570,-58.499161
SU,-34.624570,-58.499161
SU,-34.650977,-58.499075
SU,-34.639273,-58.499071
SU,-34.575030,-58.498982
SU,-34.581974,-58.498955
SU,-34.581974,-58.498955
SU,-34.571484,-58.498915
SU,-34.595458,-58.498834
OF,-34.643355,-58.498806
DI,-34.596566,-58.498783
OF,-34.643409,-58.498738
DI,-34.611538,-58.498677
OF,-34.568475,-58.498635
SU,-34.587669,-58.498631
SU,-34.550754,-58.498595
OF,-34.567497,-58.498569
SU,-34.582407,-58.498564
SU,-34.629975,-58.498520
SU,-34.629975,-58.498520
SU,-34.609118,-58.498503
SU,-34.597268,-58.498474
SU,-34.593665,-58.498447
SU,-34.599702,-58.498444
SU,-34.583861,-58.498430
SU,-34.565303,-58.498352
OF,-34.568301,-58.498320
OF,-34.567824,-58.498303
SU,-34.553126,-58.498287
SU,-34.600484,-58.498227
OF,-34.567986,-58.498172
SU,-34.614128,-58.498161
SU,-34.611561,-58.498119
SU,-34.582248,-58.497951
SU,-34.590460,-58.497941
SU,-34.627904,-58.497939
SU,-34.627904,-58.497939
OF,-34.570257,-58.497939
SU,-34.641088,-58.497903
SU,-34.641088,-58.497903
SU,-34.624436,-58.497874
SU,-34.590989,-58.497869
SU,-34.577594,-58.497851
SU,-34.609958,-58.497822
SU,-34.564547,-58.497773
SU,-34.564547,-58.497773
SU,-34.564547,-58.497773
SU,-34.564442,-58.497748
SU,-34.639053,-58.497734
DI,-34.614079,-58.497725
SU,-34.640985,-58.497695
SU,-34.606357,-58.497663
SU,-34.606357,-58.497663
OF,-34.570475,-58.497657
SU,-34.578252,-58.497563
OF,-34.572735,-58.497498
SU,-34.626524,-58.497463
SU,-34.629852,-58.497457
SU,-34.580607,-58.497435
SU,-34.570576,-58.497364
SU,-34.570576,-58.497364
SU,-34.565085,-58.497339
SU,-34.622491,-58.497272
SU,-34.622491,-58.497272
SU,-34.622491,-58.497272
SU,-34.622491,-58.497272
SU,-34.622491,-58.497272
SU,-34.579183,-58.497268
SU,-34.579183,-58.497268
OF,-34.567156,-58.497268
SU,-34.568152,-58.497243
SU,-34.610607,-58.497178
SU,-34.610607,-58.497178
SU,-34.648549,-58.497161
SU,-34.598973,-58.497155
SU,-34.622324,-58.497079
OF,-34.570427,-58.496923
SU,-34.626181,-58.496886
SU,-34.626181,-58.496886
SU,-34.589935,-58.496828
SU,-34.648339,-58.496743
SU,-34.623500,-58.496733
SU,-34.623500,-58.496733
SU,-34.564446,-58.496708
SU,-34.578928,-58.496699
SU,-34.578928,-58.496699
SU,-34.623447,-58.496624
SU,-34.623447,-58.496624
SU,-34.623447,-58.496624
SU,-34.581518,-58.496619
SU,-34.581518,-58.496619
SU,-34.590589,-58.496605
SU,-34.590589,-58.496605
SU,-34.611692,-58.496544
SU,-34.611692,-58.496544
SU,-34.637573,-58.496497
SU,-34.578782,-58.496462
SU,-34.602073,-58.496384
SU,-34.574332,-58.496349
SU,-34.574332,-58.496349
SU,-34.606861,-58.496294
SU,-34.628335,-58.496287
SU,-34.628335,-58.496287
SU,-34.628335,-58.496287
SU,-34.597475,-58.496236
SU,-34.623027,-58.496193
SU,-34.623027,-58.496193
SU,-34.623186,-58.496155
SU,-34.623186,-58.496155
OF,-34.574475,-58.496098
SU,-34.621379,-58.496030
SU,-34.593022,-58.496024
DI,-34.595287,-58.495987
SU,-34.571490,-58.495977
OF,-34.640272,-58.495962
SU,-34.572882,-58.495952
SU,-34.572882,-58.495952
SU,-34.623041,-58.495930
SU,-34.623041,-58.495930
SU,-34.638303,-58.495913
SU,-34.591522,-58.495761
SU,-34.600607,-58.495727
SU,-34.645437,-58.495683
SU,-34.645437,-58.495683
SU,-34.551354,-58.495658
SU,-34.589659,-58.495655
DI,-34.598958,-58.495454
SU,-34.548223,-58.495389
DI,-34.592259,-58.495381
OF,-34.568095,-58.495262
SU,-34.628398,-58.495219
SU,-34.574805,-58.495218
SU,-34.554892,-58.495149
OF,-34.567933,-58.495130
SU,-34.604278,-58.495112
DI,-34.592061,-58.495062
SU,-34.573778,-58.494985
SU,-34.585292,-58.494985
SU,-34.574542,-58.494960
SU,-34.581860,-58.494872
SU,-34.628079,-58.494861
SU,-34.647838,-58.494780
SU,-34.628348,-58.494741
SU,-34.628348,-58.494741
DI,-34.624886,-58.494703
SU,-34.630947,-58.494702
SU,-34.645322,-58.494645
SU,-34.645322,-58.494645
DI,-34.625007,-58.494621
SU,-34.618486,-58.494619
SU,-34.618486,-58.494619
SU,-34.618486,-58.494619
SU,-34.618486,-58.494619
SU,-34.618486,-58.494619
SU,-34.628436,-58.494605
SU,-34.645010,-58.494506
SU,-34.583973,-58.494497
SU,-34.645149,-58.494480
SU,-34.645565,-58.494464
SU,-34.645565,-58.494464
SU,-34.645565,-58.494464
SU,-34.645565,-58.494464
SU,-34.645565,-58.494464
SU,-34.615226,-58.494445
SU,-34.620207,-58.494425
SU,-34.574494,-58.494408
SU,-34.628939,-58.494379
SU,-34.645557,-58.494347
OF,-34.566749,-58.494314
SU,-34.633457,-58.494313
SU,-34.600191,-58.494302
SU,-34.607111,-58.494282
SU,-34.589100,-58.494280
SU,-34.606422,-58.494266
SU,-34.614278,-58.494256
SU,-34.585249,-58.494228
SU,-34.587331,-58.494225
SU,-34.626756,-58.494224
OF,-34.632047,-58.494147
SU,-34.644217,-58.494115
SU,-34.644217,-58.494115
SU,-34.562394,-58.494102
SU,-34.550505,-58.494051
SU,-34.621365,-58.494037
DI,-34.593730,-58.494035
SU,-34.609242,-58.493995
DI,-34.636770,-58.493914
SU,-34.570247,-58.493800
SU,-34.624574,-58.493718
SU,-34.565297,-58.493681
SU,-34.565297,-58.493681
SU,-34.565297,-58.493681
SU,-34.576000,-58.493649
SU,-34.620475,-58.493641
SU,-34.568944,-58.493615
SU,-34.602559,-58.493572
SU,-34.583353,-58.493494
SU,-34.549118,-58.493290
SU,-34.616310,-58.493239
SU,-34.549548,-58.493205
SU,-34.627647,-58.493202
SU,-34.627647,-58.493202
SU,-34.611655,-58.493165
DI,-34.629005,-58.493086
DI,-34.639092,-58.493030
DI,-34.571196,-58.493025
DI,-34.639162,-58.492992
DI,-34.580718,-58.492989
SU,-34.626217,-58.492961
SU,-34.626217,-58.492961
SU,-34.626217,-58.492961
SU,-34.626217,-58.492961
SU,-34.646768,-58.492937
SU,-34.649096,-58.492885
DI,-34.633323,-58.492878
SU,-34.612228,-58.492845
SU,-34.612228,-58.492845
SU,-34.625627,-58.492800
SU,-34.625627,-58.492800
SU,-34.625627,-58.492800
SU,-34.625627,-58.492800
SU,-34.643772,-58.492794
SU,-34.561754,-58.492757
SU,-34.625787,-58.492716
SU,-34.566774,-58.492662
SU,-34.611227,-58.492650
SU,-34.560286,-58.492564
SU,-34.640203,-58.492522
SU,-34.571109,-58.492503
SU,-34.576442,-58.492496
SU,-34.621587,-58.492377
SU,-34.633518,-58.492327
SU,-34.633518,-58.492327
SU,-34.601899,-58.492296
SU,-34.600163,-58.492273
SU,-34.555839,-58.492255
DI,-34.635360,-58.492231
SU,-34.550055,-58.492218
SU,-34.562708,-58.492163
